case_no,diagnoza_referencia,hladaj_na_amboss_en,amboss_url,overene
01,Akútna intermitentná porfýria,acute intermittent porphyria / porphyrias,https://www.amboss.com/us/knowledge/porphyrias,ano
02,Hypertrofická kardiomyopatia,hypertrophic cardiomyopathy,https://www.amboss.com/us/knowledge/hypertrophic-cardiomyopathy,ano
03,Celiakia,celiac disease,https://www.amboss.com/us/knowledge/celiac-disease,ano
04,Alportov syndróm,Alport syndrome,https://www.amboss.com/us/knowledge/alport-syndrome,ano
05,Skleróza multiplex,multiple sclerosis,https://www.amboss.com/us/knowledge/multiple-sclerosis,ano
06,Karcinoidový syndróm,carcinoid syndrome,https://www.amboss.com/us/knowledge/carcinoid-syndrome,ano
07,Hereditárna sferocytóza,hereditary spherocytosis,https://www.amboss.com/us/knowledge/hereditary-spherocytosis,ano
08,Sarkoidóza,sarcoidosis,https://www.amboss.com/us/knowledge/sarcoidosis,ano
09,Wilsonova choroba,Wilson disease,https://www.amboss.com/us/knowledge/wilson-disease,ano
10,Feochromocytóm,pheochromocytoma,https://www.amboss.com/us/knowledge/pheochromocytoma,ano
11,Achalázia,achalasia,https://www.amboss.com/us/knowledge/achalasia,ano
12,Dermatomyozitída,dermatomyositis / idiopathic inflammatory myopathies,https://www.amboss.com/us/knowledge/idiopathic-inflammatory-myopathies,ano
13,IgA nefropatia,IgA nephropathy,https://www.amboss.com/us/knowledge/iga-nephropathy,ano
14,Lambertov-Eatonov myastenický syndróm,Lambert-Eaton myasthenic syndrome (see myasthenia gravis article),https://www.amboss.com/us/knowledge/myasthenia-gravis,ano
15,Primárna biliárna cholangitída,primary biliary cholangitis,https://www.amboss.com/us/knowledge/primary-biliary-cholangitis,ano
16,Deficiencia G6PD,G6PD deficiency,https://www.amboss.com/us/knowledge/glucose-6-phosphate-dehydrogenase-deficiency,ano
17,Primárny hyperaldosteronizmus,primary hyperaldosteronism / Conn syndrome,https://www.amboss.com/us/knowledge/primary-hyperaldosteronism,ano
18,Granulomatóza s polyangiitídou,granulomatosis with polyangiitis,https://www.amboss.com/us/knowledge/granulomatosis-with-polyangiitis,ano
19,Whippleova choroba,Whipple disease,https://www.amboss.com/us/knowledge/whipple-disease,ano
20,Huntingtonova choroba,Huntington disease,https://www.amboss.com/us/knowledge/huntington-disease,ano
21,Polycytémia vera,polycythemia vera,https://www.amboss.com/us/knowledge/polycythemia-vera,ano
22,Deficiencia alfa-1-antitrypsínu,alpha-1 antitrypsin deficiency,https://www.amboss.com/us/knowledge/alpha-1-antitrypsin-deficiency,ano
23,Antifosfolipidový syndróm,antiphospholipid syndrome,https://www.amboss.com/us/knowledge/antiphospholipid-syndrome,ano
24,Akromegália,acromegaly,https://www.amboss.com/us/knowledge/acromegaly,ano
25,Neuroblastóm,neuroblastoma,https://www.amboss.com/us/knowledge/neuroblastoma,ano
26,Trombotická trombocytopenická purpura,thrombotic thrombocytopenic purpura,https://www.amboss.com/us/knowledge/thrombotic-thrombocytopenic-purpura,ano
27,Hemochromatóza,hereditary hemochromatosis,https://www.amboss.com/us/knowledge/hemochromatosis,ano
28,Wernickeho encefalopatia,Wernicke encephalopathy,https://www.amboss.com/us/knowledge/wernicke-encephalopathy-and-korsakoff-syndrome,ano
29,Paroxyzmálna nočná hemoglobinúria,paroxysmal nocturnal hemoglobinuria,https://www.amboss.com/us/knowledge/paroxysmal-nocturnal-hemoglobinuria,ano
30,Addisonova choroba,Addison disease / adrenal insufficiency,https://www.amboss.com/us/knowledge/adrenal-insufficiency,ano
31,Otrava olovom,lead poisoning,https://www.amboss.com/us/knowledge/lead-poisoning,ano
