case_no,diagnoza_referencia,filename,caption_sk,source_url,author,license,license_url
01,Subarachnoidálne krvácanie,,,,,,
02,Infarkt myokardu,,,,,,
03,Pľúcna embólia,,,,,,
04,Diabetická ketoacidóza,,,,,,
05,Bakteriálna meningitída,,,,,,
06,Apendicitída,,,,,,
07,Anafylaxia,,,,,,
08,Disekcia aorty,,,,,,
09,Sepsa,,,,,,
10,Akútna pankreatitída,,,,,,
11,Ektopická gravidita,,,,,,
12,Hypertenzná emergencia,,,,,,
13,Gravesova choroba,,,,,,
14,Exacerbácia CHOCHP,,,,,,
15,Komunitná pneumónia,,,,,,
16,Spontánny pneumotorax,,,,,,
17,Akútna cholecystitída,,,,,,
18,Crohnova choroba,,,,,,
19,Ischemická cievna mozgová príhoda,,,,,,
20,Parkinsonova choroba,,,,,,
21,Guillainov-Barrého syndróm,,,,,,
22,Reumatoidná artritída,,,,,,
23,Systémový lupus erythematosus,,,,,,
24,Temporálna arteritída,,,,,,
25,Mnohopočetný myelóm,,,,,,
26,Sideropenická anémia,,,,,,
27,Infekčná mononukleóza,,,,,,
28,Lymská borelióza,,,,,,
29,Pyelonefritída,,,,,,
30,Feochromocytóm,,,,,,
